PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,1426197161,140.5372162,-80.70094299,49.90653992,0,0,0,0,0,0, 
1,1426213828,138.6855927,-79.05500793,51.09122849,10.34383488,2.710362911,-2.602938175,-29.00697708,-68.06795502,-25.17849922, 
2,1426230495,137.6628418,-76.19487,51.65677261,9.844756126,3.325846672,-2.783585548,-21.02807617,-67.05405426,-30.6207695, 
3,1426247162,136.5747681,-73.21434021,52.31823349,9.977223396,2.982681036,-2.126910686,-24.02509689,-64.99945068,-31.35219765, 
4,1426263829,135.5291595,-71.29160309,52.86130524,9.780696869,0.557567298,-1.269400477,-22.34617424,-46.86997986,-18.38319588, 
5,1426280496,134.2564697,-70.94065857,53.16822052,8.707170486,1.480152488,0.621370494,-56.62201691,-12.00620174,-10.89858055, 
6,1426297163,130.3171082,-71.36486053,55.42855072,8.811692238,0.62337929,3.542033195,-100.407402,15.94795036,-14.47197056, 
7,1426313830,123.8384323,-72.78753662,59.98420334,7.453226089,-0.988186121,1.981362939,-114.0424347,47.36249161,-1.897516251, 
8,1426330497,116.3162384,-74.64636993,65.7913208,7.900530338,-2.849132538,2.090136766,-104.5891495,71.08350372,11.81782818, 
9,1426347164,106.9340744,-76.86725616,74.05080414,8.217600822,-3.421438217,1.247369409,-72.52841949,98.20653534,24.60649872, 
10,1426363831,94.27272034,-79.15219879,86.15642548,8.734063148,-2.970179796,0.708215237,-40.54476929,119.9517975,41.85374832, 
11,1426380498,75.78000641,-80.979599,104.5008163,9.47906208,-2.766866446,0.360158473,-16.95014763,137.1076965,58.33277893, 
12,1426397165,51.4419632,-81.56333923,128.9286652,10.3995266,-2.591272593,-0.091047212,-2.632839203,151.0504608,65.14880371, 
13,1426413832,28.51085663,-80.55885315,152.0575562,11.1912365,-1.743529081,-0.740209281,4.67802906,161.3883514,66.72119904, 
14,1426430499,12.15565968,-78.43183136,168.5749207,11.76340294,-0.020449683,-1.621102214,3.283219099,169.7235413,72.4102478, 
15,1426447166,2.144503117,-75.75320435,178.5548553,12.24725056,-0.190188825,-1.841322899,-7.178287983,174.761795,70.35089874, 
16,1426463833,-4.118859768,-72.91745758,-175.3660126,12.61497211,0.487461418,-2.519562244,-14.889184,176.589798,67.26355743, 
