PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,520441502,-109.3873749,-22.88563538,103.0638046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,520458169,-109.488533,-22.84506607,103.0892258,3.903822899,-8.715400696,-3.140394688,-2.195123672,1.06165266,1.526203036,0.065064,-0.145257,-0.05234,-0.036585,0.017694,0.025437
2,520474836,-109.5897903,-22.81535149,103.1031036,3.905447721,-8.733692169,-3.125078678,-1.926331043,1.069490314,1.632137418,0.130155,-0.290819,-0.104425,-0.068691,0.035519,0.052639
3,520491503,-109.6520538,-22.79141235,103.151268,3.862907648,-8.719141006,-3.140344143,-1.717241764,1.23877728,1.723561764,0.194537,-0.436138,-0.156764,-0.097312,0.056165,0.081365
4,520508170,-109.6998367,-22.75448608,103.1809311,3.855558157,-8.711541176,-3.119510889,-1.528309703,1.013718605,1.841328979,0.258796,-0.58133,-0.208756,-0.122784,0.07306,0.112054
5,520524837,-109.7267227,-22.71599388,103.2228317,3.870143175,-8.685101509,-3.09506321,-1.151483059,0.905773938,1.847258449,0.323298,-0.726082,-0.26034,-0.141975,0.088156,0.142842
6,520541504,-109.7485046,-22.68616295,103.2609024,3.848346949,-8.644805908,-3.063243389,-1.534200788,0.882812083,1.788541079,0.387437,-0.870162,-0.311394,-0.167545,0.10287,0.172651
7,520558171,-109.7687302,-22.66194344,103.2713928,3.840881348,-8.672496796,-3.100802898,-1.928470016,0.801133215,1.690214038,0.451452,-1.014704,-0.363074,-0.199686,0.116222,0.200821
8,520574838,-109.7892761,-22.6400547,103.2444305,3.867754936,-8.680778503,-3.128615856,-1.998648524,0.846749365,1.553365231,0.515915,-1.159384,-0.415218,-0.232997,0.130334,0.22671
9,520591505,-109.8163986,-22.62037849,103.2431564,3.865625143,-8.650636673,-3.096097946,-2.342640162,0.988400519,1.619663954,0.580342,-1.303561,-0.46682,-0.272041,0.146807,0.253704
10,520608172,-109.848175,-22.60779572,103.2431793,3.850758791,-8.612746239,-3.057401657,-2.718007088,1.150848985,1.402365685,0.644521,-1.447107,-0.517777,-0.317341,0.165988,0.277077
11,520624839,-109.8897781,-22.60433006,103.2485657,3.829705238,-8.625610352,-3.095030785,-3.504278898,1.367776036,1.0287534,0.708349,-1.590867,-0.569361,-0.375746,0.188784,0.294223
12,520641506,-109.9300232,-22.60434151,103.2429428,3.870459557,-8.716697693,-3.156701088,-3.414211273,1.446381092,0.801440537,0.772857,-1.736145,-0.621973,-0.43265,0.21289,0.30758
13,520658173,-109.9713287,-22.60229874,103.2439957,3.884923935,-8.754838943,-3.165142059,-3.359003305,1.32383728,0.850975573,0.837606,-1.882059,-0.674725,-0.488633,0.234954,0.321763
14,520674840,-110.0121002,-22.59650993,103.2200241,3.882855892,-8.735582352,-3.16002655,-3.332506657,1.317703009,1.056735158,0.90232,-2.027652,-0.727392,-0.544175,0.256916,0.339375
15,520691507,-110.0449142,-22.58676147,103.2127762,3.919505835,-8.746260643,-3.167093515,-2.894631863,1.340907931,1.30972445,0.967645,-2.173423,-0.780177,-0.592419,0.279264,0.361204
16,520708174,-110.0677261,-22.57300758,103.2017212,3.877766609,-8.722156525,-3.183394432,-2.301544666,1.263148069,1.59374404,1.032274,-2.318792,-0.833234,-0.630778,0.300316,0.387766
17,520724841,-110.0852356,-22.55701065,103.1917267,3.860775232,-8.672322273,-3.199361086,-1.903958559,1.131575465,1.669531822,1.09662,-2.463331,-0.886557,-0.662511,0.319176,0.415592
18,520741508,-110.1016541,-22.54108429,103.177803,3.847409964,-8.65275383,-3.16781497,-1.768582463,1.162169933,1.66446054,1.160743,-2.607544,-0.939354,-0.691987,0.338545,0.443333
19,520758175,-110.1235046,-22.53038788,103.1740952,3.838270426,-8.649181366,-3.156554699,-2.053255081,1.224767327,1.344263315,1.224714,-2.751697,-0.991963,-0.726208,0.358958,0.465737
20,520774842,-110.1491241,-22.52285385,103.1575928,3.817835808,-8.670819283,-3.189769745,-2.249243498,1.216648102,1.127093196,1.288345,-2.896211,-1.045126,-0.763695,0.379235,0.484522
21,520791509,-110.1700821,-22.52033234,103.1509781,3.807501793,-8.673565865,-3.194368839,-1.936845303,1.317741513,0.796318114,1.351803,-3.04077,-1.098365,-0.795976,0.401197,0.497794
22,520808176,-110.1979141,-22.52165031,103.1508713,3.81273675,-8.616374016,-3.1524086,-2.310073614,1.372603774,0.523978174,1.415349,-3.184376,-1.150905,-0.834477,0.424074,0.506527
23,520824843,-110.2389832,-22.52533722,103.1474533,3.843995333,-8.619140625,-3.162217617,-3.160517454,1.524423003,0.42250067,1.479416,-3.328028,-1.203609,-0.887152,0.449481,0.513569
24,520841510,-110.2867279,-22.52997017,103.1499023,3.868286848,-8.621906281,-3.184489012,-3.631919861,1.686474919,0.441543788,1.543887,-3.471726,-1.256684,-0.947684,0.477589,0.520928
25,520858177,-110.3352814,-22.53118324,103.1520462,3.889233828,-8.683612823,-3.235606194,-3.732897043,1.741861939,0.708812177,1.608708,-3.616453,-1.310611,-1.009899,0.50662,0.532742
